Date,Name,Year,Letterboxd URI,Rating
2024-05-13,Clue,1985,https://boxd.it/1MDQ,4
2024-05-14,South Park: Post COVID,2021,https://boxd.it/wYnW,4
2024-05-14,South Park: Post COVID: The Return of COVID,2021,https://boxd.it/wYo6,4
2024-05-23,A Good Day,2010,https://boxd.it/f0AC,5
2024-05-25,Little Children,2006,https://boxd.it/28Ka,3.5
2024-05-26,The Last Temptation of Christ,1988,https://boxd.it/1ULe,4
2024-05-26,Sicario,2015,https://boxd.it/8i7u,4
2024-05-29,Bones and All,2022,https://boxd.it/tLd4,3
2024-06-10,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2024-06-11,A Grand Day Out,1989,https://boxd.it/2acu,4
2024-06-13,Three Identical Strangers,2018,https://boxd.it/hDNO,3.5
2024-06-17,Martyrs,2008,https://boxd.it/1Yqu,4
2024-06-24,Days of Vinyl,2012,https://boxd.it/6rZ2,3.5
2024-07-02,The Big Lebowski,1998,https://boxd.it/2b6C,4
2024-07-02,Nocturnal Animals,2016,https://boxd.it/bkFu,3.5
2024-07-04,Los ganadores,2016,https://boxd.it/gmt6,3
2024-07-09,Jackie Brown,1997,https://boxd.it/2aVO,3.5
2024-07-11,Platoon,1986,https://boxd.it/29BS,4
2024-07-15,Boogie Nights,1997,https://boxd.it/23um,2.5
2024-07-16,Star Wars,1977,https://boxd.it/72s,4
2024-07-20,Late Night with the Devil,2023,https://boxd.it/zo6G,3.5
2024-07-22,"Love, Lies",2016,https://boxd.it/dqrC,2.5
2024-07-22,Love Lies Bleeding,2024,https://boxd.it/zN4q,2.5
2024-07-22,Terrified,2017,https://boxd.it/hCyy,3.5
2024-07-22,Juno,2007,https://boxd.it/210a,3.5
2024-07-22,Dragonball Evolution,2009,https://boxd.it/1ODy,0.5
2024-07-24,Stop Making Sense,1984,https://boxd.it/1ygo,5
2024-07-29,Rear Window,1954,https://boxd.it/2a6Q,4
2024-08-03,MaXXXine,2024,https://boxd.it/CIM4,3.5
2024-08-05,The Distinguished Citizen,2016,https://boxd.it/enGc,3.5
2024-08-12,Talk to Her,2002,https://boxd.it/2beG,4
2024-08-18,Trap,2024,https://boxd.it/D4nK,3
2024-08-18,Game Night,2018,https://boxd.it/fRtu,3.5
2024-08-25,3 Women,1977,https://boxd.it/YPs,2
2024-08-27,Signs,2002,https://boxd.it/26t2,3.5
2024-09-09,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2024-09-15,Zootopia,2016,https://boxd.it/84xS,1
2024-09-18,Kinds of Kindness,2024,https://boxd.it/CWPw,3
2024-09-24,Babylon,2022,https://boxd.it/mM02,4
2024-10-12,Joker: Folie à Deux,2024,https://boxd.it/xBoE,1.5
2024-10-19,Crash,1996,https://boxd.it/29n2,3
2024-10-20,Smile 2,2024,https://boxd.it/FDA4,3.5
2024-10-31,Terrifier,2016,https://boxd.it/eRzg,2.5
2024-11-04,The Full Monty,1997,https://boxd.it/1YI4,4
2024-11-05,The Substance,2024,https://boxd.it/zanS,3
2024-11-09,Woman of the Hour,2023,https://boxd.it/vuz2,3.5
2024-11-23,Reality+,2014,https://boxd.it/cIEC,2.5
2024-12-07,A Silent Voice: The Movie,2016,https://boxd.it/d99c,3.5
2024-12-07,28 Days Later,2002,https://boxd.it/2aXU,3.5
2024-12-13,History of the Occult,2020,https://boxd.it/o7Ho,3.5
2024-12-13,Queer,2024,https://boxd.it/E4RW,3
2025-01-02,Zoolander,2001,https://boxd.it/1YMA,5
2025-01-12,The Beast,2023,https://boxd.it/yqmk,2.5
2025-01-12,Lady Vengeance,2005,https://boxd.it/248G,4.5
2025-01-14,Hot Fuzz,2007,https://boxd.it/2416,2.5
2025-01-21,Minority Report,2002,https://boxd.it/2aWi,3.5
2025-01-21,A Real Pain,2024,https://boxd.it/CjNG,3.5
2025-01-25,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2025-02-02,Anora,2024,https://boxd.it/Egcw,4
2025-02-04,My Fault,2023,https://boxd.it/CcDk,0.5
2025-02-04,Companion,2025,https://boxd.it/F04o,2
2025-02-07,Mulholland Drive,2001,https://boxd.it/297o,5
2025-02-09,Sin City,2005,https://boxd.it/2aVk,4
2025-02-16,Bullet Train,2022,https://boxd.it/qW26,3
2025-02-16,Look Back,2024,https://boxd.it/LjA6,3
2025-02-18,Triangle of Sadness,2022,https://boxd.it/hXlq,3.5
2025-02-19,Blink Twice,2024,https://boxd.it/vIOg,2.5
2025-02-21,Legend,2015,https://boxd.it/8qZY,3
2025-03-01,You Don't Mess with the Zohan,2008,https://boxd.it/1VHs,4
2025-03-03,Gosford Park,2001,https://boxd.it/239e,2.5
2025-03-25,Revanche,2008,https://boxd.it/1MdS,4
2025-03-25,Jacob's Ladder,1990,https://boxd.it/270g,4
2025-04-05,Misery,1990,https://boxd.it/28gY,4
2025-04-05,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2025-04-05,Lost in Translation,2003,https://boxd.it/2b0E,3.5
2025-04-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5
2025-04-05,X,2022,https://boxd.it/sxVa,3
2025-04-11,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-04-13,Monkey Kingdom,2015,https://boxd.it/9m0Y,5
2025-04-14,Flies,2023,https://boxd.it/IEXk,3.5
2025-04-21,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4
2025-04-23,Conclave,2024,https://boxd.it/AO8q,4
2025-04-25,The Matrix,1999,https://boxd.it/2a1m,4.5
2025-05-05,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,4.5
2025-05-10,Forrest Gump,1994,https://boxd.it/728,4.5
2025-05-10,The Secret in Their Eyes,2009,https://boxd.it/1vWw,5
2025-05-14,Memoir of a Snail,2024,https://boxd.it/EgX8,4.5
2025-05-17,Unforgiven,1992,https://boxd.it/6Z4,3
2025-05-18,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2025-05-25,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2025-05-29,The Monkey,2025,https://boxd.it/Gwiu,2.5
2025-05-30,I Saw the Devil,2010,https://boxd.it/FaK,4.5
2025-05-30,Brokeback Mountain,2005,https://boxd.it/2b2q,4.5
2025-05-30,Challengers,2024,https://boxd.it/zld0,4.5
2025-05-31,Final Destination Bloodlines,2025,https://boxd.it/l5y4,3
2025-05-31,Tape,2001,https://boxd.it/1yCu,4
2025-06-10,The Aura,2005,https://boxd.it/1PHQ,4
2025-06-14,Lost Highway,1997,https://boxd.it/29Wc,4
2025-06-15,Maniac,2018,https://boxd.it/jX9y,3.5
2025-06-26,The Conformist,1970,https://boxd.it/20cE,4
2025-06-30,Dogtooth,2009,https://boxd.it/158K,4
2025-06-30,Happy Together,1997,https://boxd.it/1Ha0,5
2025-07-03,Possession,1981,https://boxd.it/1BPm,4
2025-07-04,Cure,1997,https://boxd.it/1blA,5
2025-07-04,Oldboy,2003,https://boxd.it/29R2,5
2025-07-04,Retribution,2006,https://boxd.it/NO4,4.5
2025-07-08,Gran Torino,2008,https://boxd.it/1Qzy,3.5
2025-07-08,The House That Jack Built,2018,https://boxd.it/dWO4,4.5
2025-07-08,Atonement,2007,https://boxd.it/24ui,3
2025-07-08,Love Exposure,2008,https://boxd.it/1pDe,5
2025-07-08,Licorice Pizza,2021,https://boxd.it/qTKY,3
2025-07-08,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2025-07-10,He's All That,2021,https://boxd.it/bFbA,1
2025-07-20,Mind Game,2004,https://boxd.it/1Bv2,5
2025-07-22,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,4.5
2025-07-23,1978,2024,https://boxd.it/Napi,2
2025-07-25,The Man from Earth,2007,https://boxd.it/1Ql2,3.5
2025-07-30,Superman,2025,https://boxd.it/E9IU,4
2025-08-12,After Hours,1985,https://boxd.it/1VfS,4
2025-08-15,Moebius,1996,https://boxd.it/13Vg,4
2025-09-06,Into the Abyss,2022,https://boxd.it/yxlS,2
2025-09-07,Extraordinary Stories,2008,https://boxd.it/3JF4,4.5
2025-09-13,Pusher,1996,https://boxd.it/27wG,4
2025-09-19,Pusher II,2004,https://boxd.it/1U7y,4
2025-09-23,Stephanie,2005,https://boxd.it/hltG,0.5
2025-09-28,The Vanishing,1988,https://boxd.it/1ZTW,4
2025-09-30,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2025-10-11,Take Me to the River,2015,https://boxd.it/9Uay,2.5
2025-10-15,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2025-10-15,The Game,1997,https://boxd.it/26vC,4
2025-10-29,Magnolia,1999,https://boxd.it/2aze,4.5
2025-11-03,Scooby-Doo,2002,https://boxd.it/1YaQ,3
2025-11-03,Spring Breakers,2012,https://boxd.it/421s,3
2025-11-08,The Last One for the Road,2025,https://boxd.it/UbvU,4.5
2025-11-08,A Useful Ghost,2025,https://boxd.it/Qy4O,2
2025-11-09,Suzaki Paradise: Red Light District,1956,https://boxd.it/47wA,3.5
2025-11-09,Kiss of the Spider Woman,2025,https://boxd.it/K6Ag,3.5
